trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5506072874493927,0.5505507474429583,0.5505905511811024,0.5504894004229993,0.5509465274879992,0.5506072874493927,0.5506957027191877
Conscientiousness,247,0.5546558704453441,0.591682127396413,0.558327868852459,0.5120330459770115,0.5924276225028104,0.5546558704453441,0.5102814230536554
Extraversion,247,0.5465587044534413,0.6011721524982241,0.5560695538057743,0.49488752556237214,0.6034890866576996,0.5465587044534413,0.4903090666732901
Agreeableness,247,0.5263157894736842,0.5308891838088918,0.5307017543859649,0.526191530175594,0.534107498341075,0.5263157894736842,0.5256012985096651
Neuroticism,247,0.5222672064777328,0.5805066079295154,0.5239640702858641,0.4217063492063492,0.580787957694983,0.5222672064777328,0.42073003020371436
