trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.64,0.5875,0.5607638888888888,0.5535714285714286,0.612,0.64,0.6085714285714287
Conscientiousness,50,0.64,0.6845238095238095,0.6490384615384616,0.625,0.6885714285714286,0.64,0.622
Extraversion,50,0.64,0.6442307692307692,0.6499999999999999,0.6376811594202898,0.6653846153846154,0.64,0.6434782608695653
Agreeableness,50,0.62,0.6222410865874364,0.6153846153846154,0.6124031007751938,0.6218675721561969,0.62,0.6145736434108526
Neuroticism,50,0.48,0.24,0.5,0.32432432432432434,0.2304,0.48,0.3113513513513514
