trait,n_samples,macro_f1,accuracy,high_recall,low_recall,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.39759036144578314,0.66,0.9166666666666666,0.0,0.35106382978723405,0.4583333333333333,0.505531914893617,0.66,0.5725301204819278
Conscientiousness,50,0.5659722222222222,0.6,0.8148148148148148,0.34782608695652173,0.6049896049896051,0.5813204508856682,0.6041580041580041,0.6,0.5756944444444444
Extraversion,50,0.2200328407224959,0.24,0.8333333333333334,0.05263157894736842,0.358695652173913,0.4429824561403509,0.4321739130434783,0.24,0.15513957307060755
Agreeableness,50,0.4802494802494802,0.6,0.9310344827586207,0.14285714285714285,0.6,0.5369458128078818,0.6,0.6,0.5201663201663201
Neuroticism,50,0.40476190476190477,0.52,1.0,0.07692307692307693,0.75,0.5384615384615384,0.76,0.52,0.3942857142857143
