trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5789473684210527,0.5909464344396977,0.5726377952755906,0.5534696147962731,0.590189736582666,0.5789473684210527,0.5564923991246368
Conscientiousness,247,0.5910931174089069,0.6096491228070176,0.5934426229508196,0.5764012701000119,0.6102351019248526,0.5910931174089069,0.575443106145084
Extraversion,247,0.5789473684210527,0.5816180674671241,0.5749343832020997,0.5681818181818181,0.5813547591104691,0.5789473684210527,0.5701140964298859
Agreeableness,247,0.5668016194331984,0.5649122807017544,0.5463659147869674,0.521499828001376,0.5651821862348178,0.5668016194331984,0.5328252758593315
Neuroticism,247,0.5101214574898786,0.7530612244897958,0.508130081300813,0.35204336043360435,0.7520614723622242,0.5101214574898786,0.35333908254062296
