trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,244,0.5286885245901639,0.5274095553714444,0.5266890756302521,0.5244631992814411,0.5276014007542523,0.5286885245901639,0.5255654580576298
Conscientiousness,244,0.5081967213114754,0.5178571428571428,0.5126344086021506,0.47186147186147187,0.5181498829039812,0.5081967213114754,0.4695905187708466
Extraversion,245,0.5428571428571428,0.5434173669467788,0.5434405445082076,0.5428495268559244,0.5441376550620248,0.5428571428571428,0.5429180708668914
Agreeableness,245,0.5265306122448979,0.5135294117647059,0.5115647626709574,0.49943638156967735,0.5161296518607443,0.5265306122448979,0.5084677917947509
Neuroticism,245,0.5102040816326531,0.5184826993337632,0.511462081833933,0.4595588235294118,0.518537524616552,0.5102040816326531,0.4588835534213686
