trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5789473684210527,0.6157676714260532,0.5861876640419947,0.5534696147962731,0.6178296083943332,0.5789473684210527,0.5504468304679094
Conscientiousness,247,0.5465587044534413,0.6820175438596491,0.5517049180327869,0.45111111111111113,0.6839619291142837,0.5465587044534413,0.44833108412055783
Extraversion,247,0.5425101214574899,0.5762820512820512,0.5507545931758531,0.504992462534362,0.5779352226720648,0.5425101214574899,0.501130350586393
Agreeableness,247,0.5384615384615384,0.5778688524590163,0.5582706766917294,0.5161855670103093,0.583858764186633,0.5384615384615384,0.5081998413957176
Neuroticism,247,0.5870445344129555,0.5891653182308522,0.5867099396800419,0.5840377757231541,0.5891135917962693,0.5870445344129555,0.5841809547083828
