gamma,trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0.9,Openness,50,0.6,0.5476190476190476,0.5416666666666666,0.5404411764705883,0.5809523809523809,0.6,0.586764705882353
0.9,Conscientiousness,50,0.66,0.7494172494172494,0.671474358974359,0.6353496353496353,0.7558041958041958,0.66,0.6315572715572715
0.9,Extraversion,50,0.64,0.6362179487179487,0.6416666666666666,0.6347402597402598,0.6551282051282051,0.64,0.6435064935064935
0.9,Agreeableness,50,0.54,0.538647342995169,0.5384615384615384,0.5383380168606985,0.5393236714975845,0.54,0.5394460056202328
0.9,Neuroticism,50,0.56,0.678030303030303,0.5753205128205129,0.4944852941176471,0.6842424242424242,0.56,0.4872058823529411
