trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5708502024291497,0.5920327507479137,0.5767060367454069,0.5547278911564626,0.5935008481561449,0.5708502024291497,0.5523266958605304
Conscientiousness,247,0.5465587044534413,0.6235368554254983,0.5512131147540984,0.47165775401069515,0.624758730837753,0.5465587044534413,0.4692415943189937
Extraversion,247,0.5506072874493927,0.6531311154598826,0.5616141732283464,0.4782186697116757,0.6568885332403717,0.5506072874493927,0.47271084010119724
Agreeableness,247,0.5384615384615384,0.5558823529411765,0.5507518796992481,0.5320103709613084,0.5601809954751131,0.5384615384615384,0.527783743978399
Neuroticism,247,0.5263157894736842,0.6231321839080459,0.5280946761080514,0.4143479582531158,0.6235783424077435,0.5263157894736842,0.4133112190751476
