trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5092592592592593,0.521666918314963,0.5123038669296065,0.4516716160551777,0.521841674076311,0.5092592592592593,0.4500262548207753
Conscientiousness,247,0.5,0.4992263056092842,0.4992307692307692,0.4987956450525098,0.4994197292069632,0.5,0.4992773870315058
Extraversion,247,0.4845814977973568,0.4827558930548964,0.4830692761727244,0.4813201835758227,0.4830503454327126,0.4845814977973568,0.4822261041929155
Agreeableness,247,0.4619047619047619,0.4375,0.4467201897637077,0.4309216048346483,0.4422619047619047,0.4619047619047619,0.4410385540820323
Neuroticism,247,0.5404040404040404,0.5477732793522267,0.5421428571428571,0.5272727272727273,0.5479900216742322,0.5404040404040404,0.5264768901132538
