trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,216,0.5092592592592593,0.521666918314963,0.5123038669296065,0.4516716160551777,0.521841674076311,0.5092592592592593,0.45002625482077535
Conscientiousness,204,0.5,0.49922630560928427,0.49923076923076926,0.49879564505250984,0.4994197292069632,0.5,0.49927738703150587
Extraversion,227,0.4845814977973568,0.4827558930548964,0.48306927617272444,0.48132018357582274,0.48305034543271264,0.4845814977973568,0.48222610419291556
Agreeableness,210,0.46190476190476193,0.4375,0.4467201897637077,0.4309216048346483,0.44226190476190474,0.46190476190476193,0.44103855408203235
Neuroticism,198,0.5404040404040404,0.5477732793522267,0.5421428571428571,0.5272727272727273,0.5479900216742322,0.5404040404040404,0.5264768901132538
