trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.48,0.46875,0.47275641025641024,0.4583333333333333,0.47,0.48,0.46266666666666667
Conscientiousness,49,0.5714285714285714,0.5714285714285714,0.5700000000000001,0.5685534591194968,0.5714285714285714,0.5714285714285714,0.5692722371967656
Extraversion,50,0.6,0.5960591133004927,0.5942028985507246,0.5941558441558441,0.5980295566502464,0.6,0.5980519480519481
Agreeableness,50,0.52,0.4857142857142857,0.4876847290640394,0.47916666666666663,0.49942857142857133,0.52,0.5025
Neuroticism,50,0.5,0.5,0.5,0.45054945054945056,0.5,0.5,0.4505494505494505
