trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.562753036437247,0.5895604395604396,0.5695209973753281,0.5399420529801324,0.5911643012857588,0.562753036437247,0.5370388369037724
Conscientiousness,247,0.5344129554655871,0.6040723981900453,0.5392131147540984,0.45156681404823046,0.6051440819242677,0.5344129554655871,0.4489778721289381
Extraversion,247,0.5465587044534413,0.671972049689441,0.5581364829396326,0.46387596899224803,0.6763396786280081,0.5465587044534413,0.45790917364968775
Agreeableness,247,0.5303643724696356,0.5587852141345058,0.5476190476190476,0.5142411501424115,0.5637393058008593,0.5303643724696356,0.5074335673820279
Neuroticism,247,0.5060728744939271,0.6260288065843622,0.5080317335431419,0.3567708333333333,0.6265307142500125,0.5060728744939271,0.3555161943319838
