trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5708502024291497,0.5887700534759358,0.5762467191601051,0.5574374577417174,0.5901188594687047,0.5708502024291497,0.5552539876763215
Conscientiousness,247,0.5384615384615384,0.6284937888198758,0.5434098360655737,0.4501249804718013,0.6298375537505972,0.5384615384615384,0.4474481150781729
Extraversion,247,0.5465587044534413,0.659009009009009,0.5579068241469817,0.4678362573099415,0.6630047051099683,0.5465587044534413,0.4620356559414731
Agreeableness,247,0.5465587044534413,0.5729069767441861,0.5620300751879699,0.534965034965035,0.5780679785330948,0.5465587044534413,0.5293168370091447
Neuroticism,247,0.4979757085020243,0.4989711934156379,0.49993443482821925,0.34622609289617484,0.49897535862448145,0.4979757085020243,0.34495088604234414
