trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.7,0.6900161030595813,0.7048611111111112,0.6899545266639107,0.7249597423510467,0.7,0.7055808185200496
Conscientiousness,50,0.56,0.6369047619047619,0.5737179487179487,0.5098039215686274,0.6414285714285713,0.56,0.5035294117647059
Extraversion,50,0.46,0.6111111111111112,0.5416666666666666,0.4065934065934066,0.6488888888888888,0.46,0.37098901098901105
Agreeableness,50,0.58,0.5899830220713073,0.5849358974358975,0.5757575757575757,0.5916468590831918,0.58,0.574060606060606
Neuroticism,50,0.56,0.6467391304347826,0.5432692307692308,0.45436507936507936,0.6426086956521739,0.56,0.4639682539682539
