trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.7,0.7059800664451827,0.6076388888888888,0.6000000000000001,0.7036544850498339,0.7,0.6560000000000001
Conscientiousness,50,0.6,0.6145833333333333,0.6057692307692308,0.5941558441558441,0.6166666666666667,0.6,0.5922077922077922
Extraversion,50,0.7,0.6975051975051976,0.6583333333333333,0.66078697421981,0.6985446985446986,0.7,0.683853459972863
Agreeableness,50,0.56,0.5679824561403509,0.5496794871794872,0.5225694444444444,0.5673684210526316,0.56,0.5279166666666667
Neuroticism,50,0.46,0.43333333333333335,0.47596153846153844,0.3688639551192146,0.43200000000000005,0.46,0.35927068723702665
