trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.6032388663967612,0.6110125646711013,0.5985564304461942,0.5896175233961752,0.6103569515636268,0.6032388663967612,0.5917363989740442
Conscientiousness,247,0.6032388663967612,0.6229564553093965,0.6055409836065574,0.5896175233961752,0.6235925065646428,0.6032388663967612,0.5887094338628027
Extraversion,247,0.5668016194331984,0.5660881174899866,0.5649606299212598,0.5639426487815341,0.5662394663870315,0.5668016194331984,0.5649432885096166
Agreeableness,247,0.5263157894736842,0.5194512694512694,0.518796992481203,0.5171670592952734,0.5221130221130221,0.5263157894736842,0.5222795849832089
Neuroticism,247,0.5425101214574899,0.6018427919112851,0.5409454497770784,0.46110478249956555,0.6015321496576003,0.5425101214574899,0.4619527547803773
