trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.6153846153846154,0.6267329716696806,0.6103674540682416,0.6002895835107742,0.625840404321417,0.6153846153846154,0.6024909423257093
Conscientiousness,247,0.6032388663967612,0.6229564553093965,0.6055409836065574,0.5896175233961752,0.6235925065646428,0.6032388663967612,0.5887094338628027
Extraversion,247,0.5789473684210527,0.5786713286713286,0.5767716535433071,0.5752645502645503,0.578720874267433,0.5789473684210527,0.5763854079643553
Agreeableness,247,0.5384615384615384,0.5314569536423841,0.5300751879699248,0.5278672032193159,0.533876719307183,0.5384615384615384,0.5333075375328896
Neuroticism,247,0.5587044534412956,0.6626494768310911,0.557074482035143,0.4721911819482837,0.6621271400301375,0.5587044534412956,0.4730563146632138
