trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5748987854251012,0.5912050898203592,0.5799540682414698,0.5634499823259103,0.592517091323426,0.5748987854251012,0.5614464417835517
Conscientiousness,247,0.5222672064777328,0.5805512422360248,0.5272131147540984,0.43083112013747854,0.5814211532174918,0.5222672064777328,0.4280603296423193
Extraversion,247,0.5546558704453441,0.6580196140461879,0.5655511811023621,0.48471400394477315,0.6618479008462193,0.5546558704453441,0.4793338603678061
Agreeableness,247,0.5546558704453441,0.5770117507065298,0.568295739348371,0.546562082777036,0.5820089474707948,0.5546558704453441,0.5419020232104345
Neuroticism,247,0.5141700404858299,0.6281380753138075,0.5160634670862838,0.3797086891009543,0.628631443429946,0.5141700404858299,0.37853945995847704
