trait,n_samples,macro_f1,accuracy,high_recall,low_recall,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5752645502645503,0.5789473684210527,0.47244094488188976,0.6916666666666667,0.5859450171821305,0.5820538057742782,0.5868692349430277,0.5789473684210527,0.5741436925647452
Conscientiousness,247,0.5191375257126065,0.5708502024291497,0.24,0.9098360655737705,0.6352711342647407,0.5749180327868852,0.6364424239344788,0.5708502024291497,0.5172222413897716
Extraversion,247,0.5402207153304082,0.5465587044534413,0.41732283464566927,0.6833333333333333,0.5540293040293041,0.5503280839895013,0.5548338301374739,0.5465587044534413,0.5386908558869175
Agreeableness,247,0.5649762151663292,0.5668016194331984,0.5864661654135338,0.543859649122807,0.564957264957265,0.5651629072681704,0.5676528599605523,0.5668016194331984,0.5671438827332363
Neuroticism,247,0.3878116343490305,0.5182186234817814,0.9758064516129032,0.056910569105691054,0.6052742616033755,0.5163585103592971,0.604890756589624,0.5182186234817814,0.38895555530633535
