trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.64,0.6029411764705883,0.5972222222222222,0.5989304812834224,0.631764705882353,0.64,0.6348663101604278
Conscientiousness,50,0.58,0.6164241164241164,0.5897435897435898,0.5586380832282472,0.6194594594594595,0.58,0.5547540983606557
Extraversion,50,0.6,0.5892857142857143,0.5916666666666667,0.5894909688013137,0.6071428571428572,0.6,0.6026272577996715
Agreeableness,50,0.56,0.5583333333333333,0.5560897435897436,0.5535714285714286,0.5586666666666666,0.56,0.5557142857142857
Neuroticism,50,0.5,0.5780141843971631,0.5176282051282052,0.39290917921321034,0.5815602836879432,0.5,0.3827100534239922
