gamma,trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0.5,Openness,50,0.7,0.6869918699186992,0.6197916666666666,0.6194824961948249,0.6926829268292682,0.7,0.6684931506849315
0.5,Conscientiousness,50,0.58,0.6328671328671329,0.5913461538461539,0.5495495495495495,0.6366433566433567,0.58,0.5448648648648649
0.5,Extraversion,50,0.6,0.6041666666666667,0.6083333333333334,0.5974235104669887,0.625,0.6,0.6038647342995169
0.5,Agreeableness,50,0.52,0.5166666666666666,0.5160256410256411,0.512987012987013,0.5173333333333333,0.52,0.5153246753246753
0.5,Neuroticism,50,0.48,0.4891304347826087,0.4967948717948718,0.3809523809523809,0.4895652173913044,0.48,0.371047619047619
