gamma,trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0.1,Openness,50,0.68,0.6468253968253967,0.6284722222222222,0.6323529411764706,0.6679365079365078,0.68,0.6694117647058824
0.1,Conscientiousness,50,0.62,0.6911421911421911,0.6314102564102564,0.5924495924495925,0.6962237762237763,0.62,0.5882110682110682
0.1,Extraversion,50,0.68,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.68,0.68,0.68
0.1,Agreeableness,50,0.54,0.5373514431239388,0.5352564102564102,0.5308037535699714,0.5377928692699491,0.54,0.5334312525499796
0.1,Neuroticism,50,0.54,0.6555555555555556,0.5560897435897436,0.4623655913978494,0.6613333333333332,0.54,0.4541935483870968
