trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.6032388663967612,0.6038931197478992,0.6038385826771653,0.603232362968791,0.6044019834654509,0.6032388663967612,0.603186838973
Conscientiousness,247,0.5748987854251012,0.6146133179811937,0.578327868852459,0.5400372439478585,0.6154704661658575,0.5748987854251012,0.5384992347650389
Extraversion,246,0.5853658536585366,0.6345486111111112,0.5922619047619048,0.5532051282051282,0.6366869918699187,0.5853658536585366,0.550281425891182
Agreeableness,247,0.5263157894736842,0.5237812911725955,0.5238095238095237,0.5237867677350251,0.5266139657444004,0.5263157894736842,0.5264562906813874
Neuroticism,247,0.5263157894736842,0.5986842105263158,0.5280291109362706,0.4242424242424242,0.5990304709141274,0.5263157894736842,0.42326094957673904
