trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.582995951417004,0.5967661691542289,0.5765748031496063,0.5568464874845407,0.5959131468165246,0.582995951417004,0.5598972582766615
Conscientiousness,247,0.5951417004048583,0.6172256337584632,0.5976393442622951,0.5785558285558285,0.6178815921749069,0.5951417004048583,0.5775403670140513
Extraversion,247,0.582995951417004,0.5863505747126436,0.5788713910761155,0.5717652207577977,0.5860288985062124,0.582995951417004,0.5737305986231587
Agreeableness,247,0.5506072874493927,0.5422821969696969,0.5294486215538847,0.5008284023668639,0.5434367715617715,0.5506072874493927,0.5129540282203005
Neuroticism,247,0.5141700404858299,0.7540983606557377,0.5121951219512195,0.3607660455486542,0.753102807460012,0.5141700404858299,0.36203384715970527
