strategy,trait,k,n_queries,mean_match_rate,std_match_rate,hit_rate
full_dual,Openness to Experience,3,247,0.5168690958164642,0.2885718077311454,0.8906882591093117
full_dual,Conscientiousness,3,247,0.5155195681511472,0.290201796558015,0.8825910931174089
full_dual,Extraversion,3,247,0.5209176788124157,0.28039664722127056,0.8987854251012146
full_dual,Agreeableness,3,247,0.5357624831309041,0.2820997059207324,0.9190283400809717
full_dual,Neuroticism,3,247,0.50472334682861,0.31437333137404816,0.8461538461538461
full_dual,Openness to Experience,5,247,0.5174089068825911,0.24408087280914642,0.9635627530364372
full_dual,Conscientiousness,5,247,0.5303643724696356,0.2269518774588483,0.97165991902834
full_dual,Extraversion,5,247,0.5141700404858299,0.22853524837582667,0.9635627530364372
full_dual,Agreeableness,5,247,0.5400809716599191,0.2166472382290027,0.9878542510121457
full_dual,Neuroticism,5,247,0.5117408906882591,0.25543446688037563,0.9433198380566802
sliced_dual_asym,Openness to Experience,3,247,0.5060728744939272,0.3171992936629656,0.8461538461538461
sliced_dual_asym,Conscientiousness,3,247,0.5114709851551956,0.3113228995169274,0.8340080971659919
sliced_dual_asym,Extraversion,3,247,0.5276653171390013,0.30739029143945523,0.8704453441295547
sliced_dual_asym,Agreeableness,3,247,0.5290148448043185,0.2998564227652276,0.8947368421052632
sliced_dual_asym,Neuroticism,3,247,0.5384615384615384,0.3163426415681046,0.8663967611336032
sliced_dual_asym,Openness to Experience,5,247,0.5198380566801619,0.24521983463135352,0.9595141700404858
sliced_dual_asym,Conscientiousness,5,247,0.5255060728744939,0.23524740823339393,0.9595141700404858
sliced_dual_asym,Extraversion,5,247,0.5174089068825911,0.24208224336420545,0.951417004048583
sliced_dual_asym,Agreeableness,5,247,0.5384615384615384,0.22283247810415335,0.9959514170040485
sliced_dual_asym,Neuroticism,5,247,0.536842105263158,0.2733414234500609,0.9433198380566802
