trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,247,0.5991902834008097,0.6048343475321163,0.6017388451443569,0.5970503419296367,0.6057531486697708,0.5991902834008097,0.5962181424686249
Conscientiousness,247,0.5263157894736842,0.7552301255230125,0.532,0.39810051444400474,0.7582030389781986,0.5263157894736842,0.39472642825901316
Extraversion,247,0.562753036437247,0.5744008714596951,0.5672244094488189,0.5537936571657969,0.5754597655526449,0.562753036437247,0.5520017813115069
Agreeableness,247,0.5506072874493927,0.5806746031746032,0.5670426065162907,0.5372267701915774,0.5862210012210012,0.5506072874493927,0.5311736790511371
Neuroticism,247,0.5910931174089069,0.6352564102564102,0.5899226330972988,0.5531213613972235,0.6349475760406934,0.5910931174089069,0.5536487468973857
