trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Openness,50,0.7,0.5283687943262412,0.5079365079365079,0.4684620836286322,0.6141843971631207,0.7,0.6228206945428774
Conscientiousness,50,0.7,0.7,0.6932367149758454,0.6940024479804161,0.7,0.7,0.6974296205630356
Extraversion,50,0.3,0.473421926910299,0.4824561403508772,0.29292929292929293,0.598671096345515,0.3,0.25616161616161615
Agreeableness,50,0.56,0.5149051490514904,0.5090311986863711,0.47619047619047616,0.5261788617886178,0.56,0.5097142857142858
Neuroticism,50,0.56,0.7608695652173914,0.5769230769230769,0.47619047619047616,0.7704347826086956,0.56,0.4678095238095238
